1.000E-03 7.458E-01 
1.103E-03 8.717E-01 
1.217E-03 1.016E+00 
1.232E-03 1.036E+00 
1.248E-03 1.056E+00 
1.328E-03 1.160E+00 
1.414E-03 1.271E+00 
1.500E-03 1.381E+00 
2.000E-03 2.008E+00 
3.000E-03 3.138E+00 
4.000E-03 4.126E+00 
5.000E-03 5.025E+00 
6.000E-03 5.856E+00 
8.000E-03 7.328E+00 
1.000E-02 8.579E+00 
1.110E-02 9.180E+00 
1.110E-02 9.180E+00 
1.500E-02 1.091E+01 
2.000E-02 1.238E+01 
3.000E-02 1.400E+01 
4.000E-02 1.475E+01 
5.000E-02 1.505E+01 
6.000E-02 1.512E+01 
8.000E-02 1.494E+01 
1.000E-01 1.459E+01 
1.500E-01 1.357E+01 
2.000E-01 1.263E+01 
3.000E-01 1.113E+01 
4.000E-01 1.003E+01 
5.000E-01 9.188E+00 
6.000E-01 8.516E+00 
8.000E-01 7.497E+00 
1.000E+00 6.747E+00 
1.022E+00 6.676E+00 
1.250E+00 6.038E+00 
1.500E+00 5.490E+00 
2.000E+00 4.687E+00 
2.044E+00 4.629E+00 
3.000E+00 3.689E+00 
4.000E+00 3.077E+00 
5.000E+00 2.658E+00 
6.000E+00 2.349E+00 
7.000E+00 2.112E+00 
8.000E+00 1.922E+00 
9.000E+00 1.767E+00 
1.000E+01 1.637E+00 
1.100E+01 1.527E+00 
1.200E+01 1.432E+00 
1.300E+01 1.349E+00 
1.400E+01 1.276E+00 
1.500E+01 1.212E+00 
1.600E+01 1.154E+00 
1.800E+01 1.054E+00 
2.000E+01 9.724E-01 
2.200E+01 9.032E-01 
2.400E+01 8.440E-01 
2.600E+01 7.925E-01 
2.800E+01 7.476E-01 
3.000E+01 7.079E-01 
4.000E+01 5.626E-01 
5.000E+01 4.696E-01 
6.000E+01 4.046E-01 
8.000E+01 3.191E-01 
1.000E+02 2.648E-01 
